char,unicode,standard_rank,repair_status,original_block_reason,radical_source,radical_source_status,radical_resolution_status,radical_resolution_reason,approved_radical,canonical_radical,proposed_radix,proposed_radix_name,approved_strokes,approved_structure,approved_struct_type,approved_decomposition,current_cnbe,current_cnbe_hex,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_index,current_ext,proposed_cnbe,proposed_cnbe_hex,roundtrip_pass,authority_boundary
捽,U+637D,4734,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,扌,手,64,手,11,左右,3,⿰扌卒,1079629776,0x4059D7D0,64,手,11,左右,3,1405,0,1079629776,0x4059D7D0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
堉,U+5809,4736,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,土,土,32,土,11,左右,3,⿰土育,542744720,0x2059A090,32,土,11,左右,3,521,0,542744720,0x2059A090,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
棁,U+68C1,4777,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,木,木,75,木,11,左右,3,⿰木兑,1264167952,0x4B59AC10,75,木,11,左右,3,705,0,1264167952,0x4B59AC10,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
郾,U+90FE,4781,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,11,左右,3,⿰匽阝,2740563936,0xA359AFE0,163,邑,11,左右,3,766,0,2740563936,0xA359AFE0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄄,U+9104,4785,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,11,左右,3,⿰垔阝,2740564032,0xA359B040,163,邑,11,左右,3,772,0,2740564032,0xA359B040,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
晞,U+665E,4822,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,日,日,72,日,11,左右,3,⿰日希,1213826528,0x485985E0,72,日,11,左右,3,94,0,1213826528,0x485985E0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
崚,U+5D1A,4856,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,山,山,46,山,11,左右,3,⿰山夌,777646496,0x2E59F1A0,46,山,11,左右,3,1818,0,777646496,0x2E59F1A0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
秾,U+79FE,4891,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,禾,禾,115,禾,11,左右,3,⿰禾农,1935261664,0x7359BFE0,115,禾,11,左右,3,1022,0,1935261664,0x7359BFE0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
馃,U+9983,4932,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,饣,食,184,食,11,左右,3,⿰饣果,3092887600,0xB859B830,184,食,11,左右,3,899,0,3092887600,0xB859B830,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隈,U+9688,5012,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝畏,2857994368,0xAA598880,170,阜,11,左右,3,136,0,2857994368,0xAA598880,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隍,U+968D,5014,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝皇,2857994448,0xAA5988D0,170,阜,11,左右,3,141,0,2857994448,0xAA5988D0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隗,U+9697,5015,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,11,左右,3,⿰阝鬼,2857994608,0xAA598970,170,阜,11,左右,3,151,0,2857994608,0xAA598970,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
雱,U+96F1,5116,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,雨,雨,173,雨,12,上下,1,⿱雨方,2908786448,0xAD608F10,173,雨,12,上下,1,241,0,2908786448,0xAD608F10,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
睄,U+7744,5123,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,目,目,109,目,12,左右,3,⿰目肖,1835111488,0x6D619440,109,目,12,左右,3,324,0,1835111488,0x6D619440,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
嗞,U+55DE,5159,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,口,口,30,口,12,左右,3,⿰口兹,509738464,0x1E61FDE0,30,口,12,左右,3,2014,0,509738464,0x1E61FDE0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
嵖,U+5D56,5164,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,山,山,46,山,12,左右,3,⿰山查,778171744,0x2E61F560,46,山,12,左右,3,1878,0,778171744,0x2E61F560,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
嵎,U+5D4E,5168,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,山,山,46,山,12,左右,3,⿰山禺,778171616,0x2E61F4E0,46,山,12,左右,3,1870,0,778171616,0x2E61F4E0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
媭,U+5AAD,5218,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,女,女,38,女,12,上下,1,⿱须女,643877584,0x2660CAD0,38,女,12,上下,1,1197,0,643877584,0x2660CAD0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
颎,U+988E,5246,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,页,頁,181,頁,12,左右,3,⿰𭴁页,3043076320,0xB561A8E0,181,頁,12,左右,3,654,0,3043076320,0xB561A8E0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
焜,U+711C,5273,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,火,火,86,火,12,左右,3,⿰火昆,1449243072,0x5661B1C0,86,火,12,左右,3,796,0,1449243072,0x5661B1C0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄢,U+9122,5351,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,13,左右,3,⿰焉阝,2741613088,0xA369B220,163,邑,13,左右,3,802,0,2741613088,0xA369B220,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄞,U+911E,5370,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,13,左右,3,⿰堇阝,2741613024,0xA369B1E0,163,邑,13,左右,3,798,0,2741613024,0xA369B1E0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鹐,U+9E50,5533,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,鸟,鳥,196,鳥,13,左右,3,⿰臽鸟,3295249664,0xC4698500,196,鳥,13,左右,3,80,0,3295249664,0xC4698500,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
滫,U+6EEB,5578,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,氵,水,85,水,13,左右,3,⿰氵脩,1432981168,0x55698EB0,85,水,13,左右,3,235,0,1432981168,0x55698EB0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
滃,U+6EC3,5581,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,氵,水,85,水,13,左右,3,⿰氵翁,1432980528,0x55698C30,85,水,13,左右,3,195,0,1432980528,0x55698C30,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
璈,U+7488,5621,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,王,王,95,王,14,左右,3,⿰王敖,1601300608,0x5F71E880,95,王,14,左右,3,1672,0,1601300608,0x5F71E880,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
叆,U+53C6,5629,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,厶,厶,28,厶,14,左右,3,⿰云爱,477224032,0x1C71DC60,28,厶,14,左右,3,1478,0,477224032,0x1C71DC60,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
榖,U+6996,5641,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,木,木,75,木,14,左右,3,⿰⿱⿳士冖一木殳,1265744224,0x4B71B960,75,木,14,左右,3,918,0,1265744224,0x4B71B960,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
靺,U+977A,5645,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,革,革,177,革,14,左右,3,⿰革末,2977011616,0xB17197A0,177,革,14,左右,3,378,0,2977011616,0xB17197A0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
靿,U+977F,5648,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,革,革,177,革,14,左右,3,⿰革幼,2977011696,0xB17197F0,177,革,14,左右,3,383,0,2977011696,0xB17197F0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
僰,U+50F0,5671,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,人,人,9,人,14,上下,1,⿱棘人,158379776,0x0970AF00,9,人,14,上下,1,752,0,158379776,0x0970AF00,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
豨,U+8C68,5682,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,豕,豕,152,豕,14,左右,3,⿰豕希,2557601408,0x9871E680,152,豕,14,左右,3,1640,0,2557601408,0x9871E680,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
嘡,U+5621,5716,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,口,口,30,口,14,左右,3,⿰口堂,510755344,0x1E718210,30,口,14,左右,3,33,0,510755344,0x1E718210,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄱,U+9131,5765,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,14,左右,3,⿰番阝,2742137616,0xA371B310,163,邑,14,左右,3,817,0,2742137616,0xA371B310,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
鄯,U+912F,5790,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,14,左右,3,⿰善阝,2742137584,0xA371B2F0,163,邑,14,左右,3,815,0,2742137584,0xA371B2F0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
粿,U+7CBF,5792,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,米,米,119,米,14,左右,3,⿰米果,2003954672,0x7771EBF0,119,米,14,左右,3,1727,0,2003954672,0x7771EBF0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
熥,U+71A5,5799,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,火,火,86,火,14,左右,3,⿰火通,1450293840,0x5671BA50,86,火,14,左右,3,933,0,1450293840,0x5671BA50,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
璟,U+749F,6030,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,王,王,95,王,16,左右,3,⿰王景,1602349552,0x5F81E9F0,95,王,16,左右,3,1695,0,1602349552,0x5F81E9F0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
璠,U+74A0,6032,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,王,王,95,王,16,左右,3,⿰王番,1602349568,0x5F81EA00,95,王,16,左右,3,1696,0,1602349568,0x5F81EA00,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
螠,U+87A0,6102,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,虫,虫,142,虫,16,左右,3,⿰虫益,2390858240,0x8E819A00,142,虫,16,左右,3,416,0,2390858240,0x8E819A00,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
隰,U+96B0,6189,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_LEFT_ALIAS,left 阝 resolved to 阜 from top-level decomposition position,阝,阜,170,阜,16,左右,3,⿰阝㬎,2860616448,0xAA818B00,170,阜,16,左右,3,176,0,2860616448,0xAA818B00,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
藠,U+85E0,6321,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,艹,艸,140,艸,18,上下,1,⿱艹皛,2358312448,0x8C90FE00,140,艸,18,上下,1,2016,0,2358312448,0x8C90FE00,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
酃,U+9143,6377,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,19,左右,3,⿰霝阝,2744759344,0xA399B430,163,邑,19,左右,3,835,0,2744759344,0xA399B430,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
霨,U+9728,6380,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,雨,雨,173,雨,19,上下,1,⿱雨尉,2912457344,0xAD989280,173,雨,19,上下,1,296,0,2912457344,0xAD989280,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
蹽,U+8E7D,6385,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,足,足,157,足,19,左右,3,⿰𧾷尞,2644084688,0x9D9987D0,157,足,19,左右,3,125,0,2644084688,0x9D9987D0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
蹾,U+8E7E,6388,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,足,足,157,足,19,左右,3,⿰𧾷敦,2644084704,0x9D9987E0,157,足,19,左右,3,126,0,2644084704,0x9D9987E0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
齁,U+9F41,6400,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,鼻,鼻,209,鼻,19,左右,3,⿰鼻句,3516503056,0xD1999410,209,鼻,19,左右,3,321,0,3516503056,0xD1999410,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
酆,U+9146,6426,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,20,左右,3,⿰豐阝,2745283680,0xA3A1B460,163,邑,20,左右,3,838,0,2745283680,0xA3A1B460,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
巉,U+5DC9,6431,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,山,山,46,山,20,左右,3,⿰山毚,782367888,0x2EA1FC90,46,山,20,左右,3,1993,0,782367888,0x2EA1FC90,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邘,U+9098,6508,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,5,左右,3,⿰于阝,2737416576,0xA329A980,163,邑,5,左右,3,664,0,2737416576,0xA329A980,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
圢,U+5722,6510,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,土,土,32,土,5,左右,3,⿰土丁,539595296,0x20299220,32,土,5,左右,3,290,0,539595296,0x20299220,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
伋,U+4F0B,6512,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,亻,人,9,人,5,左右,3,⿰亻及,153718960,0x092990B0,9,人,5,左右,3,267,0,153718960,0x092990B0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
冮,U+51AE,6514,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,DIRECT,main-form radical found in mapping source,冫,冫,15,冫,5,左右,3,⿰冫工,254393056,0x0F29BAE0,15,冫,5,左右,3,942,0,254393056,0x0F29BAE0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
汈,U+6C48,6516,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,氵,水,85,水,5,左右,3,⿰氵刁,1428808832,0x5529E480,85,水,5,左右,3,1608,0,1428808832,0x5529E480,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
讱,U+8BB1,6521,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,讠,言,149,言,5,左右,3,⿰讠刃,2502548240,0x9529DB10,149,言,5,左右,3,1457,0,2502548240,0x9529DB10,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
扞,U+625E,6522,APPLIED_RUNTIME_REPAIR_CANDIDATE,missing_approved_radical,zdic_cached_cross_reference_radical,NETWORK_CROSS_REFERENCE_NOT_NATIONAL_STANDARD,ALIAS,conservative variant or simplified radical alias,扌,手,64,手,6,左右,3,⿰扌干,1077003744,0x4031C5E0,64,手,6,左右,3,1118,0,1077003744,0x4031C5E0,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
邨,U+90A8,6530,APPLIED_RUNTIME_REPAIR_CANDIDATE,radical_resolution_blocked,approved_8105_packet,NATIONAL_STANDARD_CANDIDATE_REVIEW_REQUIRED,POSITION_RIGHT_ALIAS,right 阝 resolved to 邑 from top-level decomposition position,阝,邑,163,邑,6,左右,3,⿰屯阝,2737941120,0xA331AA80,163,邑,6,左右,3,680,0,2737941120,0xA331AA80,True,AGENT_STANDARD_ALIGNED_TO_8105_WITH_CROSS_REFERENCE_WHERE_NEEDED
