character,unicode_codepoint,standard_rank,status,merge_status,approved_basis,approved_radical,approved_canonical_radical,approved_radical_resolution,approved_radix,approved_strokes,approved_agent_structure,approved_agent_struct_type,approved_decomposition,current_cnbe,current_cnbe_hex,current_radix,current_radix_name,current_strokes,current_struct_name,current_struct_type,current_index,current_ext,proposed_cnbe,proposed_cnbe_hex,proposed_radix,proposed_radix_name,proposed_canonical_radical,proposed_strokes,proposed_struct_type,proposed_struct_name,proposed_index,proposed_ext,roundtrip_pass,decoded_radix,decoded_strokes,decoded_struct_type,decoded_index,decoded_ext,write_gate,block_reason,block_detail
捌,U+634C,1800,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌别,1742918848,0x67E2D4C0,103,疋,28,top-left-wrap,5,1356,0,1079104704,0x4051D4C0,64,扌,手,10,3,左右,1356,0,True,64,10,3,1356,0,NO_WRITE_DRY_RUN_ONLY,,
都,U+90FD,1801,DRY_RUN_BLOCKED,,,阝,,,,10,左右,3,,507064272,,,,,,,765,,,,,,,,,,,,,,,,,,NO_WRITE_DRY_RUN_ONLY,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side."
哲,U+54F2,1802,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,口,口,DIRECT,30,10,上下,1,⿱折口,1130721056,0x43656F20,67,文,12,left-wrap,10,1778,0,508620576,0x1E50EF20,30,口,口,10,1,上下,1778,0,True,30,10,1,1778,0,NO_WRITE_DRY_RUN_ONLY,,
逝,U+901D,1803,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,辶,辵,ALIAS,162,10,左下包,8,⿺辶折,352199120,0x14FE21D0,20,勹,31,triangle,12,541,0,2723422672,0xA25421D0,162,辶,辵,10,8,左下包,541,0,True,162,10,8,541,0,NO_WRITE_DRY_RUN_ONLY,,
捡,U+6361,1804,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌佥,2089834000,0x7C905610,124,羽,18,single,0,1377,0,1079105040,0x4051D610,64,扌,手,10,3,左右,1377,0,True,64,10,3,1377,0,NO_WRITE_DRY_RUN_ONLY,,
挫,U+632B,1805,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌坐,1188418224,0x46D5D2B0,70,方,26,full-wrap,11,1323,0,1079104176,0x4051D2B0,64,扌,手,10,3,左右,1323,0,True,64,10,3,1323,0,NO_WRITE_DRY_RUN_ONLY,,
换,U+6362,1806,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌奂,2107168288,0x7D98D620,125,老,19,left-right,1,1378,0,1079105056,0x4051D620,64,扌,手,10,3,左右,1378,0,True,64,10,3,1378,0,NO_WRITE_DRY_RUN_ONLY,,
挽,U+633D,1807,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌免,1483330512,0x5869D3D0,88,父,13,up-down,3,1341,0,1079104464,0x4051D3D0,64,扌,手,10,3,左右,1341,0,True,64,10,3,1341,0,NO_WRITE_DRY_RUN_ONLY,,
挚,U+631A,1808,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,手,手,DIRECT,64,10,上下,1,⿱执手,894161312,0x354BD1A0,53,广,9,bottom-left-wrap,7,1306,0,1079038368,0x4050D1A0,64,手,手,10,1,上下,1306,0,True,64,10,1,1306,0,NO_WRITE_DRY_RUN_ONLY,,
热,U+70ED,1809,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,灬,火,ALIAS,86,10,上下,1,⿱执灬,2826251984,0xA8752ED0,168,長,14,left-wrap,10,749,0,1448128208,0x5650AED0,86,灬,火,10,1,上下,749,0,True,86,10,1,749,0,NO_WRITE_DRY_RUN_ONLY,,
恐,U+6050,1810,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,心,心,DIRECT,61,10,上下,1,⿱巩心,3276023040,0xC3442500,195,魚,8,top-wrap,8,592,0,1028695296,0x3D50A500,61,心,心,10,1,上下,592,0,True,61,10,1,592,0,NO_WRITE_DRY_RUN_ONLY,,
捣,U+6363,1811,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌岛,2124502576,0x7EA15630,126,而,20,left-mid-right,2,1379,0,1079105072,0x4051D630,64,扌,手,10,3,左右,1379,0,True,64,10,3,1379,0,NO_WRITE_DRY_RUN_ONLY,,
壶,U+58F6,1812,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,士,士,DIRECT,33,10,上中下,2,⿳士冖业,428715872,0x198DAF60,25,卜,17,full-wrap,11,758,0,558968672,0x21512F60,33,士,士,10,2,上中下,758,0,True,33,10,2,758,0,NO_WRITE_DRY_RUN_ONLY,,
捅,U+6345,1813,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌甬,1622004816,0x60ADD450,96,玄,21,full-wrap,11,1349,0,1079104592,0x4051D450,64,扌,手,10,3,左右,1349,0,True,64,10,3,1349,0,NO_WRITE_DRY_RUN_ONLY,,
埃,U+57C3,1814,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,土,土,DIRECT,32,10,左右,3,⿰土矣,2460064816,0x92A19C30,146,西,20,up-down,3,451,0,542219312,0x20519C30,32,土,土,10,3,左右,451,0,True,32,10,3,451,0,NO_WRITE_DRY_RUN_ONLY,,
挨,U+6328,1815,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,扌,手,ALIAS,64,10,左右,3,⿰扌矣,1136415360,0x43BC5280,67,文,23,top-wrap,8,1320,0,1079104128,0x4051D280,64,扌,手,10,3,左右,1320,0,True,64,10,3,1320,0,NO_WRITE_DRY_RUN_ONLY,,
耻,U+803B,1816,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,耳,耳,DIRECT,128,10,左右,3,⿰耳止,349250480,0x14D123B0,20,勹,26,left-mid-right,2,571,0,2152833968,0x8051A3B0,128,耳,耳,10,3,左右,571,0,True,128,10,3,571,0,NO_WRITE_DRY_RUN_ONLY,,
耿,U+803F,1817,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,耳,耳,DIRECT,128,10,左右,3,⿰耳火,418587632,0x18F323F0,24,十,30,top-right-wrap,6,575,0,2152834032,0x8051A3F0,128,耳,耳,10,3,左右,575,0,True,128,10,3,575,0,NO_WRITE_DRY_RUN_ONLY,,
耽,U+803D,1818,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,耳,耳,DIRECT,128,10,左右,3,⿰耳冘,383919056,0x16E223D0,22,匚,28,up-mid-down,4,573,0,2152834000,0x8051A3D0,128,耳,耳,10,3,左右,573,0,True,128,10,3,573,0,NO_WRITE_DRY_RUN_ONLY,,
聂,U+8042,1819,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,耳,耳,DIRECT,128,10,上下,1,⿱耳双,454337568,0x1B14A420,27,厂,2,bottom-wrap,9,578,0,2152768544,0x8050A420,128,耳,耳,10,1,上下,578,0,True,128,10,1,578,0,NO_WRITE_DRY_RUN_ONLY,,
恭,U+606D,1820,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,⺗,心,ALIAS,61,10,上下,1,⿱共㣺,171288272,0x0A35A6D0,10,儿,6,full-wrap,11,621,0,1028695760,0x3D50A6D0,61,⺗,心,10,1,上下,621,0,True,61,10,1,621,0,NO_WRITE_DRY_RUN_ONLY,,
莽,U+83BD,1821,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱𦬫廾,1053416400,0x3EC9DBD0,62,戈,25,up-down,3,1469,0,2354109392,0x8C50DBD0,140,艹,艸,10,1,上下,1469,0,True,140,10,1,1469,0,NO_WRITE_DRY_RUN_ONLY,,
莱,U+83B1,1822,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱艹来,845830928,0x326A5B10,50,巾,13,up-mid-down,4,1457,0,2354109200,0x8C50DB10,140,艹,艸,10,1,上下,1457,0,True,140,10,1,1457,0,NO_WRITE_DRY_RUN_ONLY,,
莲,U+83B2,1823,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱艹连,863165216,0x3372DB20,51,干,14,top-left-wrap,5,1458,0,2354109216,0x8C50DB20,140,艹,艸,10,1,上下,1458,0,True,140,10,1,1458,0,NO_WRITE_DRY_RUN_ONLY,,
莫,U+83AB,1824,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱艹旲,742251184,0x2C3DDAB0,44,尸,7,full-wrap,11,1451,0,2354109104,0x8C50DAB0,140,艹,艸,10,1,上下,1451,0,True,140,10,1,1451,0,NO_WRITE_DRY_RUN_ONLY,,
莉,U+8389,1825,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱艹利,169990288,0x0A21D890,10,儿,4,up-down,3,1417,0,2354108560,0x8C50D890,140,艹,艸,10,1,上下,1417,0,True,140,10,1,1417,0,NO_WRITE_DRY_RUN_ONLY,,
荷,U+8377,1826,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱艹何,3465402224,0xCE8DD770,206,鼎,17,full-wrap,11,1399,0,2354108272,0x8C50D770,140,艹,艸,10,1,上下,1399,0,True,140,10,1,1399,0,NO_WRITE_DRY_RUN_ONLY,,
获,U+83B7,1827,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱艹犾,949836656,0x389D5B70,56,弋,19,left-wrap,10,1463,0,2354109296,0x8C50DB70,140,艹,艸,10,1,上下,1463,0,True,140,10,1,1463,0,NO_WRITE_DRY_RUN_ONLY,,
晋,U+664B,1828,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,日,日,DIRECT,72,10,上下,1,⿱亚日,245531824,0x0EA284B0,14,冖,20,top-left-wrap,5,75,0,1213236400,0x485084B0,72,日,日,10,1,上下,75,0,True,72,10,1,75,0,NO_WRITE_DRY_RUN_ONLY,,
恶,U+6076,1829,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,心,心,DIRECT,61,10,上下,1,⿱亚心,326870880,0x137BA760,19,力,15,bottom-left-wrap,7,630,0,1028695904,0x3D50A760,61,心,心,10,1,上下,630,0,True,61,10,1,630,0,NO_WRITE_DRY_RUN_ONLY,,
莹,U+83B9,1830,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱𫇦玉,984505232,0x3AAE5B90,58,彐,21,triangle,12,1465,0,2354109328,0x8C50DB90,140,艹,艸,10,1,上下,1465,0,True,140,10,1,1465,0,NO_WRITE_DRY_RUN_ONLY,,
莺,U+83BA,1831,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,艹,艸,ALIAS,140,10,上下,1,⿱𫇦鸟,1001413536,0x3BB05BA0,59,彡,22,single,0,1466,0,2354109344,0x8C50DBA0,140,艹,艸,10,1,上下,1466,0,True,140,10,1,1466,0,NO_WRITE_DRY_RUN_ONLY,,
真,U+771F,1832,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,目,目,DIRECT,109,10,上下,1,⿱十具,714936816,0x2A9D11F0,42,小,19,left-wrap,10,287,0,1833996784,0x6D5091F0,109,目,目,10,1,上下,287,0,True,109,10,1,287,0,NO_WRITE_DRY_RUN_ONLY,,
框,U+6846,1833,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木匡,1576707168,0x5DFAA460,93,牛,31,top-left-wrap,5,582,0,1263641696,0x4B51A460,75,木,木,10,3,左右,582,0,True,75,10,3,582,0,NO_WRITE_DRY_RUN_ONLY,,
梆,U+6886,1834,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木邦,2635212896,0x9D122860,157,足,2,up-mid-down,4,646,0,1263642720,0x4B51A860,75,木,木,10,3,左右,646,0,True,75,10,3,646,0,NO_WRITE_DRY_RUN_ONLY,,
桂,U+6842,1835,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木圭,1507370016,0x59D8A420,89,爻,27,left-right,1,578,0,1263641632,0x4B51A420,75,木,木,10,3,左右,578,0,True,75,10,3,578,0,NO_WRITE_DRY_RUN_ONLY,,
桔,U+6854,1836,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木吉,1802708288,0x6B732540,107,皮,14,top-right-wrap,6,596,0,1263641920,0x4B51A540,75,木,木,10,3,左右,596,0,True,75,10,3,596,0,NO_WRITE_DRY_RUN_ONLY,,
栖,U+6816,1837,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木西,762618208,0x2D74A160,45,屮,14,bottom-wrap,9,534,0,1263640928,0x4B51A160,75,木,木,10,3,左右,534,0,True,75,10,3,534,0,NO_WRITE_DRY_RUN_ONLY,,
档,U+6863,1838,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木当,2062296624,0x7AEC2630,122,网,29,top-wrap,8,611,0,1263642160,0x4B51A630,75,木,木,10,3,左右,611,0,True,75,10,3,611,0,NO_WRITE_DRY_RUN_ONLY,,
桐,U+6850,1839,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木同,1733371136,0x67512500,103,疋,10,left-mid-right,2,592,0,1263641856,0x4B51A500,75,木,木,10,3,左右,592,0,True,75,10,3,592,0,NO_WRITE_DRY_RUN_ONLY,,
株,U+682A,1840,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木朱,1092199072,0x4119A2A0,65,支,3,up-down,3,554,0,1263641248,0x4B51A2A0,75,木,木,10,3,左右,554,0,True,75,10,3,554,0,NO_WRITE_DRY_RUN_ONLY,,
桥,U+6865,1841,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木乔,2096965200,0x7CFD2650,124,羽,31,left-wrap,10,613,0,1263642192,0x4B51A650,75,木,木,10,3,左右,613,0,True,75,10,3,613,0,NO_WRITE_DRY_RUN_ONLY,,
桦,U+6866,1842,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木华,2098046560,0x7D0DA660,125,老,1,full-wrap,11,614,0,1263642208,0x4B51A660,75,木,木,10,3,左右,614,0,True,75,10,3,614,0,NO_WRITE_DRY_RUN_ONLY,,
栓,U+6813,1843,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木全,710615344,0x2A5B2130,42,小,11,top-right-wrap,6,531,0,1263640880,0x4B51A130,75,木,木,10,3,左右,531,0,True,75,10,3,531,0,NO_WRITE_DRY_RUN_ONLY,,
桃,U+6843,1844,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木兆,1524704304,0x5AE12430,90,爿,28,left-mid-right,2,579,0,1263641648,0x4B51A430,75,木,木,10,3,左右,579,0,True,75,10,3,579,0,NO_WRITE_DRY_RUN_ONLY,,
格,U+683C,1845,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木各,1403790272,0x53AC23C0,83,氏,21,top-wrap,8,572,0,1263641536,0x4B51A3C0,75,木,木,10,3,左右,572,0,True,75,10,3,572,0,NO_WRITE_DRY_RUN_ONLY,,
桩,U+6869,1846,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木庄,2149623440,0x8020A690,128,耳,4,left-right,1,617,0,1263642256,0x4B51A690,75,木,木,10,3,左右,617,0,True,75,10,3,617,0,NO_WRITE_DRY_RUN_ONLY,,
校,U+6821,1847,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木交,952869392,0x38CBA210,56,弋,25,bottom-left-wrap,7,545,0,1263641104,0x4B51A210,75,木,木,10,3,左右,545,0,True,75,10,3,545,0,NO_WRITE_DRY_RUN_ONLY,,
核,U+6838,1848,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木亥,1334453120,0x4F8A2380,79,殳,17,up-mid-down,4,568,0,1263641472,0x4B51A380,75,木,木,10,3,左右,568,0,True,75,10,3,568,0,NO_WRITE_DRY_RUN_ONLY,,
样,U+6837,1849,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木羊,1317118832,0x4E81A370,78,歹,16,up-down,3,567,0,1263641456,0x4B51A370,75,木,木,10,3,左右,567,0,True,75,10,3,567,0,NO_WRITE_DRY_RUN_ONLY,,
根,U+6839,1850,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,左右,3,⿰木艮,1351787408,0x5092A390,80,母,18,top-left-wrap,5,569,0,1263641488,0x4B51A390,75,木,木,10,3,左右,569,0,True,75,10,3,569,0,NO_WRITE_DRY_RUN_ONLY,,
索,U+7D22,1851,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,糸,糸,DIRECT,120,10,上下,1,⿱⿱十冖糸,1396797984,0x53417220,83,氏,8,left-mid-right,2,1826,0,2018570784,0x7850F220,120,糸,糸,10,1,上下,1826,0,True,120,10,1,1826,0,NO_WRITE_DRY_RUN_ONLY,,
哥,U+54E5,1852,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,口,口,DIRECT,30,10,上下,1,⿱可可,922054224,0x36F56E50,54,廴,30,left-wrap,10,1765,0,508620368,0x1E50EE50,30,口,口,10,1,上下,1765,0,True,30,10,1,1765,0,NO_WRITE_DRY_RUN_ONLY,,
速,U+901F,1853,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,辶,辵,ALIAS,162,10,左下包,8,⿺辶束,370188784,0x1610A1F0,22,匚,2,left-right,1,543,0,2723422704,0xA25421F0,162,辶,辵,10,8,左下包,543,0,True,162,10,8,543,0,NO_WRITE_DRY_RUN_ONLY,,
逗,U+9017,1854,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,辶,辵,ALIAS,162,10,左下包,8,⿺辶豆,248193392,0x0ECB2170,14,冖,25,top-right-wrap,6,535,0,2723422576,0xA2542170,162,辶,辵,10,8,左下包,535,0,True,162,10,8,535,0,NO_WRITE_DRY_RUN_ONLY,,
栗,U+6817,1855,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,木,木,DIRECT,75,10,上下,1,⿱覀木,779952496,0x2E7D2170,46,山,15,left-wrap,10,535,0,1263575408,0x4B50A170,75,木,木,10,1,上下,535,0,True,75,10,1,535,0,NO_WRITE_DRY_RUN_ONLY,,
贾,U+8D3E,1856,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,贝,貝,ALIAS,154,10,上下,1,⿱覀贝,2370499552,0x8D4AF3E0,141,虍,9,top-left-wrap,5,1854,0,2588996576,0x9A50F3E0,154,贝,貝,10,1,上下,1854,0,True,154,10,1,1854,0,NO_WRITE_DRY_RUN_ONLY,,
酌,U+914C,1857,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,酉,酉,DIRECT,164,10,左右,3,⿰酉勺,1841411264,0x6DC1B4C0,109,目,24,up-down,3,844,0,2756818112,0xA451B4C0,164,酉,酉,10,3,左右,844,0,True,164,10,3,844,0,NO_WRITE_DRY_RUN_ONLY,,
配,U+914D,1858,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,酉,酉,DIRECT,164,10,左右,3,⿰酉己,1858745552,0x6ECA34D0,110,矛,25,up-mid-down,4,845,0,2756818128,0xA451B4D0,164,酉,酉,10,3,左右,845,0,True,164,10,3,845,0,NO_WRITE_DRY_RUN_ONLY,,
翅,U+7FC5,1859,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,羽,羽,DIRECT,124,10,左下包,8,⿺支羽,1946721360,0x74089C50,116,穴,1,left-right,1,453,0,2085887056,0x7C541C50,124,羽,羽,10,8,左下包,453,0,True,124,10,8,453,0,NO_WRITE_DRY_RUN_ONLY,,
辱,U+8FB1,1860,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,辰,辰,DIRECT,161,10,上下,1,⿱辰寸,2122586896,0x7E841B10,126,而,16,top-wrap,8,433,0,2706414352,0xA1509B10,161,辰,辰,10,1,上下,433,0,True,161,10,1,433,0,NO_WRITE_DRY_RUN_ONLY,,
唇,U+5507,1861,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_CONFIRMED,HUMAN_CONFIRMED_HANZI_DECOMP_V03,口,口,DIRECT,30,10,左上包,5,⿸辰口,1477636208,0x5812F070,88,父,2,top-left-wrap,5,1799,0,508751984,0x1E52F070,30,口,口,10,5,左上包,1799,0,True,30,10,5,1799,0,NO_WRITE_DRY_RUN_ONLY,,
夏,U+590F,1862,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,夊,夊,DIRECT,35,10,上下,1,⿱𦣻夂,844968176,0x325D30F0,50,巾,11,left-wrap,10,783,0,592490736,0x2350B0F0,35,夊,夊,10,1,上下,783,0,True,35,10,1,783,0,NO_WRITE_DRY_RUN_ONLY,,
砸,U+7838,1863,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,石,石,DIRECT,112,10,左右,3,⿰石匝,1839899520,0x6DAAA380,109,目,21,top-left-wrap,5,568,0,1884398464,0x7051A380,112,石,石,10,3,左右,568,0,True,112,10,3,568,0,NO_WRITE_DRY_RUN_ONLY,,
砰,U+7830,1864,DRY_RUN_READY,CURRENT_MODEL_STRUCTURE_REPAIR_CANDIDATE,HUMAN_CONFIRMED_HANZI_DECOMP_V03,石,石,DIRECT,112,10,左右,3,⿰石平,1701651200,0x656D2300,101,用,13,left-wrap,10,560,0,1884398336,0x7051A300,112,石,石,10,3,左右,560,0,True,112,10,3,560,0,NO_WRITE_DRY_RUN_ONLY,,
