审核序号,清单编号,汉字,Unicode,8105序号,规范等级,原始分层,现有轨道,数据库笔画数,基线笔画数,Unihan总笔画,笔画对照状态,cjk-decomp结构,cjkvi结构,结构对照状态,Unihan康熙部首号,审核结构（填写）,审核拆解或部件（填写）,审核笔画数（填写）,审核部首（填写）,审核结论（填写）,审核说明（填写）,审核人（填写）,审核日期（填写）,证据边界,编码状态
109,PENC_109,𨱇,U+28C47,7377,三级,T1,provisional,12,12,12,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
110,PENC_110,𨱏,U+28C4F,7678,三级,T2,provisional,14,14,15,diff,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
111,PENC_111,𨱑,U+28C51,7873,三级,T2,provisional,16,16,17,diff,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
112,PENC_112,𨱔,U+28C54,7944,三级,T1,provisional,17,17,17,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
113,PENC_113,𨺙,U+28E99,7084,三级,T1,provisional,10,10,10,agree,左右,左右,agree,170,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
114,PENC_114,𩽾,U+29F7E,7708,三级,T1,provisional,14,14,14,agree,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
115,PENC_115,𩾃,U+29F83,7799,三级,T1,provisional,15,15,15,agree,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
116,PENC_116,𩾌,U+29F8C,8043,三级,T1,provisional,19,19,19,agree,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
117,PENC_117,𪟝,U+2A7DD,6932,三级,T1,provisional,10,10,10,agree,左右,左右,agree,19,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
118,PENC_118,𪣻,U+2A8FB,7299,三级,T1,provisional,12,12,12,agree,左右,左右,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
119,PENC_119,𪤗,U+2A917,7638,三级,T1,provisional,14,14,14,agree,左右,左右,agree,32,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
120,PENC_120,𪨰,U+2AA30,6839,三级,T1,provisional,9,9,9,agree,左右,左右,agree,46,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
121,PENC_121,𪨶,U+2AA36,6999,三级,T4,provisional,10,10,10,agree,上下,上中下,disagree,46,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
122,PENC_122,𪩘,U+2AA58,7870,三级,T1,provisional,16,16,16,agree,左右,左右,agree,46,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
123,PENC_123,𪾢,U+2AFA2,6820,三级,T1,provisional,9,9,9,agree,左右,左右,agree,109,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
124,PENC_124,𫄧,U+2B127,6922,三级,T2,provisional,9,9,10,diff,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
125,PENC_125,𫄨,U+2B128,7094,三级,T1,provisional,10,10,10,agree,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
126,PENC_126,𫄷,U+2B137,7916,三级,T1,provisional,16,16,16,agree,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
127,PENC_127,𫄸,U+2B138,7980,三级,T1,provisional,17,17,17,agree,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
128,PENC_128,𫇭,U+2B1ED,6576,三级,T2,provisional,7,7,8,diff,上下,上下,agree,140,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
129,PENC_129,𫌀,U+2B300,7602,三级,T1,provisional,13,13,13,agree,左右,左右,agree,145,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
130,PENC_130,𫍣,U+2B363,6730,三级,T1,provisional,8,8,8,agree,左右,左右,agree,149,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
131,PENC_131,𫍯,U+2B36F,7250,三级,T1,provisional,11,11,11,agree,左右,左右,agree,149,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
132,PENC_132,𫍲,U+2B372,7255,三级,T1,provisional,11,11,11,agree,左右,左右,agree,149,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
133,PENC_133,𫍽,U+2B37D,7828,三级,T1,provisional,15,15,15,agree,左右,左右,agree,149,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
134,PENC_134,𫐄,U+2B404,6586,三级,T1,provisional,7,7,7,agree,左右,左右,agree,159,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
135,PENC_135,𫐐,U+2B410,7343,三级,T1,provisional,12,12,12,agree,左右,左右,agree,159,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
136,PENC_136,𫐓,U+2B413,7513,三级,T1,provisional,13,13,13,agree,左右,左右,agree,159,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
137,PENC_137,𫑡,U+2B461,6995,三级,T1,provisional,10,10,10,agree,左右,左右,agree,163,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
138,PENC_138,𫓧,U+2B4E7,6844,三级,T1,provisional,9,9,9,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
139,PENC_139,𫓯,U+2B4EF,7177,三级,T1,provisional,11,11,11,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
140,PENC_140,𫓶,U+2B4F6,7378,三级,T1,provisional,12,12,12,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
141,PENC_141,𫓹,U+2B4F9,7529,三级,T1,provisional,13,13,13,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
142,PENC_142,𫔍,U+2B50D,7940,三级,T1,provisional,17,17,17,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
143,PENC_143,𫔎,U+2B50E,7946,三级,T1,provisional,17,17,17,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
144,PENC_144,𫔶,U+2B536,7580,三级,T4,provisional,13,13,13,agree,左上包,上三包,disagree,169,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
145,PENC_145,𫖮,U+2B5AE,7367,三级,T1,provisional,12,12,12,agree,左右,左右,agree,181,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
146,PENC_146,𫖯,U+2B5AF,7399,三级,T1,provisional,12,12,12,agree,左右,左右,agree,181,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
147,PENC_147,𫖳,U+2B5B3,7610,三级,T1,provisional,13,13,13,agree,左右,左右,agree,181,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
148,PENC_148,𫗧,U+2B5E7,7039,三级,T1,provisional,10,10,10,agree,左右,左右,agree,184,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
149,PENC_149,𫗴,U+2B5F4,7890,三级,T1,provisional,16,16,16,agree,左右,左右,agree,184,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
150,PENC_150,𫘜,U+2B61C,6640,三级,T1,provisional,7,7,7,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
151,PENC_151,𫘝,U+2B61D,6643,三级,T1,provisional,7,7,7,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
152,PENC_152,𫘦,U+2B626,7276,三级,T1,provisional,11,11,11,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
153,PENC_153,𫘧,U+2B627,7281,三级,T1,provisional,11,11,11,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
154,PENC_154,𫘨,U+2B628,7457,三级,T1,provisional,12,12,12,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
155,PENC_155,𫘪,U+2B62A,7617,三级,T1,provisional,13,13,13,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
156,PENC_156,𫘬,U+2B62C,7618,三级,T1,provisional,13,13,13,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
157,PENC_157,𫚕,U+2B695,7701,三级,T1,provisional,14,14,14,agree,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
158,PENC_158,𫚖,U+2B696,7667,三级,T1,provisional,14,14,14,agree,上下,上下,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
159,PENC_159,𫚭,U+2B6AD,8100,三级,T1,provisional,23,23,23,agree,左右,左右,agree,195,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
160,PENC_160,𫛭,U+2B6ED,7408,三级,T1,provisional,12,12,12,agree,上下,上下,agree,196,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
161,PENC_161,𫞩,U+2B7A9,7622,三级,T2,provisional,14,14,15,diff,左右,左右,agree,96,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
162,PENC_162,𫟅,U+2B7C5,7278,三级,T1,provisional,11,11,11,agree,左右,左右,agree,120,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
163,PENC_163,𫟦,U+2B7E6,7854,三级,T2,provisional,16,16,17,diff,左右,左右,agree,159,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
164,PENC_164,𫟹,U+2B7F9,7178,三级,T1,provisional,11,11,11,agree,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
165,PENC_165,𫟼,U+2B7FC,7180,三级,T2,provisional,11,11,12,diff,左右,左右,agree,167,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
166,PENC_166,𫠆,U+2B806,6967,三级,T1,provisional,10,10,10,agree,左右,左右,agree,181,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
167,PENC_167,𫠊,U+2B80A,6752,三级,T1,provisional,8,8,8,agree,左右,左右,agree,187,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
168,PENC_168,𫠜,U+2B81C,7856,三级,T1,provisional,16,16,16,agree,左右,左右,agree,211,,,,,,,,,人工审核项目证据；国家规范、Unihan及网络资料仅作对齐参考，不能自动覆盖审核结论。,不生成候选CNBE；不写入源表或数据库
